"Time", "controlBus.chassisBus.longitudinalVelocity|km/h", "controlBus.chassisBus.longitudinalAcceleration|m/s2", "controlBus.batteryBus_1.SOC"
"35.6", "-0.008530696", "1.11E-15", "0.97"
"35.7", "-0.008530696", "2.23E-15", "0.97"
"35.8", "-0.008530696", "1.03E-15", "0.97"
"35.9", "-0.008530696", "4.16E-15", "0.97"
"36", "-0.008530696", "4.62E-16", "0.97"
"36.1", "-0.008530696", "3.39E-15", "0.97"
"36.2", "-0.008530696", "5.54E-15", "0.97"
"36.3", "-0.008530696", "5.38E-15", "0.97"
"36.4", "-0.008530696", "5.02E-15", "0.97"
"36.5", "-0.008530696", "6.09E-15", "0.97"
"36.6", "-0.008530696", "2.34E-15", "0.97"
"36.7", "-0.008530696", "2.96E-15", "0.97"
"36.8", "-0.008530696", "1.60E-15", "0.97"
"36.9", "-0.008530696", "9.79E-16", "0.97"
"37", "-0.008530696", "3.40E-16", "0.97"
"37.1", "-0.008530696", "-3.59E-16", "0.97"
"37.2", "-0.008530696", "2.24E-15", "0.97"
"37.3", "-0.008530696", "1.54E-15", "0.97"
"37.4", "-0.008530696", "2.86E-15", "0.97"
"37.5", "-0.008530696", "1.43E-15", "0.97"
"37.6", "-0.008530696", "3.44E-15", "0.97"
"37.7", "-0.008530696", "-6.69E-16", "0.97"
"37.8", "-0.008530696", "6.84E-16", "0.97"
"37.9", "-0.008530696", "1.40E-15", "0.97"
"38", "-0.008530696", "-1.00E-15", "0.97"
"38.1", "-0.008530696", "-1.36E-15", "0.97"
"38.2", "-0.008530696", "-1.08E-15", "0.97"
"38.3", "-0.008530696", "-1.82E-15", "0.97"
"38.4", "-0.008530696", "6.51E-16", "0.97"
"38.5", "-0.008530696", "1.92E-15", "0.97"
"38.6", "-0.008530696", "1.48E-15", "0.97"
"38.7", "-0.008530696", "6.22E-17", "0.97"
"38.8", "-0.008530696", "7.70E-16", "0.97"
"38.9", "-0.008530696", "-2.48E-15", "0.97"
"39", "-0.008530696", "-2.25E-15", "0.97"
"39.1", "-0.008530696", "1.19E-15", "0.97"
"39.2", "-0.008530696", "-2.16E-15", "0.97"
"39.3", "-0.008530696", "-1.43E-16", "0.97"
"39.4", "-0.008530696", "-3.60E-15", "0.97"
"39.5", "-0.008530696", "5.11E-16", "0.97"
"39.6", "-0.008530696", "-1.42E-15", "0.97"
"39.7", "-0.008530696", "-2.15E-15", "0.97"
"39.8", "-0.008530696", "2.66E-15", "0.97"
"39.9", "-0.008530696", "-1.03E-15", "0.97"
"40", "-0.008530696", "-8.42E-16", "0.97"
"40.1", "-0.008530696", "-8.48E-16", "0.97"
"40.2", "-0.008530696", "-8.82E-16", "0.97"
"40.3", "-0.008530696", "-2.26E-15", "0.97"
"40.4", "-0.008530696", "-1.48E-15", "0.97"
"40.5", "-0.008530696", "-3.32E-15", "0.97"
"40.6", "-0.008530696", "-3.38E-15", "0.97"
"40.7", "-0.008530696", "-5.56E-15", "0.97"
"40.8", "-0.008530696", "-1.58E-15", "0.97"
"40.9", "-0.008530696", "-2.10E-15", "0.97"
"41", "-0.008530696", "-3.63E-15", "0.97"
"41.1", "-0.008530696", "-3.58E-15", "0.97"
"41.2", "-0.008530696", "1.01E-15", "0.97"
"41.3", "-0.008530696", "-1.35E-15", "0.97"
"41.4", "-0.008530696", "-3.22E-15", "0.97"
"41.5", "-0.008530696", "2.07E-15", "0.97"
"41.6", "-0.008530696", "-1.99E-16", "0.97"
"41.7", "-0.008530696", "3.95E-16", "0.97"
"41.8", "-0.008530696", "8.40E-17", "0.97"
"41.9", "-0.008530696", "-1.86E-15", "0.97"
"42", "-0.008530696", "-4.98E-16", "0.97"
"42.1", "-0.008530696", "-5.56E-16", "0.97"
"42.2", "-0.008530696", "1.49E-15", "0.97"
"42.3", "-0.008530696", "-4.08E-15", "0.97"
"42.4", "-0.008530696", "5.52E-16", "0.97"
"42.5", "-0.008530696", "2.01E-15", "0.97"
"42.6", "-0.008530696", "1.93E-15", "0.97"
"42.7", "-0.008530696", "2.51E-16", "0.97"
"42.8", "-0.008530696", "1.42E-16", "0.97"
"42.9", "-0.008530696", "-2.83E-16", "0.97"
"43", "-0.008530696", "-1.65E-16", "0.97"
"43.1", "-0.008530696", "-1.37E-15", "0.97"
"43.2", "-0.008530696", "1.29E-15", "0.97"
"43.3", "-0.008530696", "-5.70E-17", "0.97"
"43.4", "-0.008530696", "-1.06E-15", "0.97"
"43.5", "-0.008530696", "3.72E-16", "0.97"
"43.6", "-0.008530696", "-1.55E-15", "0.97"
"43.7", "-0.008530696", "-6.06E-15", "0.97"
"43.8", "-0.008530696", "-9.07E-16", "0.97"
"43.9", "-0.008530696", "-2.21E-15", "0.97"
"44", "-0.008530696", "-7.51E-16", "0.97"
"44.1", "-0.008530696", "-2.29E-16", "0.97"
"44.2", "-0.008530696", "-9.81E-16", "0.97"
"44.3", "-0.008530696", "-6.65E-16", "0.97"
"44.4", "-0.008530696", "4.53E-16", "0.97"
"44.5", "-0.008530696", "-3.28E-16", "0.97"
"44.6", "-0.008530696", "-3.37E-16", "0.97"
"44.7", "-0.008530696", "-4.78E-16", "0.97"
"44.8", "-0.008530696", "-3.47E-15", "0.97"
"44.9", "-0.008530696", "1.39E-15", "0.97"
"45", "-0.008530696", "1.36E-15", "0.97"
"45.1", "-0.008530696", "3.06E-17", "0.97"
"45.2", "-0.008530696", "4.60E-15", "0.97"
"45.3", "-0.008530696", "3.25E-15", "0.97"
"45.4", "-0.008530696", "3.53E-15", "0.97"
"45.5", "-0.008530696", "3.81E-15", "0.97"
"45.6", "-0.008530696", "2.52E-15", "0.97"
"45.7", "-0.008530696", "3.51E-15", "0.97"
"45.8", "-0.008530696", "3.05E-15", "0.97"
"45.9", "-0.008530696", "4.61E-15", "0.97"
"46", "-0.008530696", "4.35E-15", "0.97"
"46.1", "-0.008530696", "2.56E-15", "0.97"
"46.2", "-0.008530696", "5.22E-15", "0.97"
"46.3", "-0.008530696", "4.07E-15", "0.97"
"46.4", "-0.008530696", "5.54E-15", "0.97"
"46.5", "-0.008530696", "6.09E-15", "0.97"
"46.6", "-0.008530696", "5.24E-15", "0.97"
"46.7", "-0.008530696", "5.19E-15", "0.97"
"46.8", "-0.008530696", "4.16E-15", "0.97"
"46.9", "-0.008530696", "2.12E-15", "0.97"
"47", "-0.008530696", "4.07E-15", "0.97"
"47.1", "-0.008530696", "2.94E-15", "0.97"
